category,name,variant,price
Pure Soya Veg Spl. Tandoori Items,Malai Chaap,Half,180
Pure Soya Veg Spl. Tandoori Items,Malai Chaap,Full,270
Pure Soya Veg Spl. Tandoori Items,Veer Ji Spl Soya Malai Chaap,Half,180
Pure Soya Veg Spl. Tandoori Items,Veer Ji Spl Soya Malai Chaap,Full,270
Pure Soya Veg Spl. Tandoori Items,Spl Lemon Chaap,Half,180
Pure Soya Veg Spl. Tandoori Items,Spl Lemon Chaap,Full,270
Pure Soya Veg Spl. Tandoori Items,Spl Garlic Chaap,Half,180
Pure Soya Veg Spl. Tandoori Items,Spl Garlic Chaap,Full,270
Pure Soya Veg Spl. Tandoori Items,Spl Pudina Chaap,Half,180
Pure Soya Veg Spl. Tandoori Items,Spl Pudina Chaap,Full,270
Pure Soya Veg Spl. Tandoori Items,Spl Punjabi Chaap,Half,180
Pure Soya Veg Spl. Tandoori Items,Spl Punjabi Chaap,Full,270
Pure Soya Veg Spl. Tandoori Items,Spl Achari Chaap,Half,180
Pure Soya Veg Spl. Tandoori Items,Spl Achari Chaap,Full,270
Pure Soya Veg Spl. Tandoori Items,Veg Juicy Tikka,Half,190
Pure Soya Veg Spl. Tandoori Items,Veg Juicy Tikka,Full,280
Pure Soya Veg Spl. Tandoori Items,Veg Afghani Chaap,Half,180
Pure Soya Veg Spl. Tandoori Items,Veg Afghani Chaap,Full,270
Pure Soya Veg Spl. Tandoori Items,Veg Mutton Kabab,Half,190
Pure Soya Veg Spl. Tandoori Items,Veg Mutton Kabab,Full,280
Pure Soya Veg Spl. Tandoori Items,Veg Chicken Kabab,Half,190
Pure Soya Veg Spl. Tandoori Items,Veg Chicken Kabab,Full,280
Pure Soya Veg Spl. Tandoori Items,Sunny Leone Soya Chaap,Half,190
Pure Soya Veg Spl. Tandoori Items,Sunny Leone Soya Chaap,Full,280
Pure Soya Veg Spl. Tandoori Items,Stuffed Chaap,Half,190
Pure Soya Veg Spl. Tandoori Items,Stuffed Chaap,Full,280
Pure Soya Veg Spl. Tandoori Items,Veg Malai Tikka,Half,190
Pure Soya Veg Spl. Tandoori Items,Veg Malai Tikka,Full,280
Pure Soya Veg Spl. Tandoori Items,Veg Mutton Tikka,Half,190
Pure Soya Veg Spl. Tandoori Items,Veg Mutton Tikka,Full,280
Pure Soya Veg Spl. Tandoori Items,M Khalifa Chaap,Half,190
Pure Soya Veg Spl. Tandoori Items,M Khalifa Chaap,Full,280
Pure Soya Veg Spl. Tandoori Items,Veg Chicken Tikka,Half,190
Pure Soya Veg Spl. Tandoori Items,Veg Chicken Tikka,Full,280
Pure Soya Veg Spl. Tandoori Items,Veg Masala Chicken,Half,190
Pure Soya Veg Spl. Tandoori Items,Veg Masala Chicken,Full,280
Pure Soya Veg Spl. Tandoori Items,Veg Fish Tikka,Half,190
Pure Soya Veg Spl. Tandoori Items,Veg Fish Tikka,Full,280
Pure Soya Veg Spl. Tandoori Items,Veg Afghani Chicken,Half,190
